Timestamp,Please paste the ID used in the system (username),I understand the concept of a STF connection,I understand the concept of periodicity in an STF connection.,I understand the concept of payload size in an STF connection.,Please answer strongly agree,I understand the concept of duration in an STF connection ,What steps did you follow to label a Bot behaviour?,What steps did you follow to label a Normal behavior?,How did you  use the heatmap?,Did you use the detail view?,Did you use the filters to narrow down the number of connections?
12/12/2016 17:23:13,2,7,7,7,7,7,I consider the periodicity and the duration. Also I consider the IP address,"Same as Botnet connection, we consider periodicity and size","First I take a general look the map and identify the colors, then I pay more attention to the extremes values",Yes,yes
12/13/2016 10:54:51,1,7,7,7,7,7,"I first chose an unlabel connection, then I filter by destination IP address and destination port. Then, I compared the differences between normal and botnet connections from the same  cluster and the same port and destination IP adress . The comparisons were performed considering the Heatmap and the barchart of the selected connections. ","Basically, it was the same used for labeling a Botnet. Since the final label was chosed by comparing the similarities ",I used for comparing the similarites between normal and botnet connections with  the same destination IP address and port ,Yes,Yes
